plot_id,year,leaf_mass
BP11,2014,3052.979629
BP36,2014,2768.678521
BP48,2014,2911.691561
BP54,2014,2109.983027
BP80,2014,1836.498791
BP98,2014,1612.988524
PSA1972,2014,2220.05772
CP9454,2014,3214.223839
BP11,2015,3176.126669
BP36,2015,2662.362456
BP48,2015,2640.310116
BP54,2015,2278.302026
BP80,2015,1838.052658
BP98,2015,1648.890218
PSA1972,2015,2746.354952
CP9454,2015,3413.347929
BP11,2016,2884.683068
BP36,2016,2204.668184
BP48,2016,2629.605305
BP54,2016,2346.296613
BP80,2016,2270.370145
BP98,2016,1728.036948
PSA1972,2016,2562.388592
CP9454,2016,3178.381676
BP11,2017,2222.222222
BP36,2017,2142.255892
BP48,2017,2550.505051
BP54,2017,2146.464646
BP80,2017,1825.757576
BP98,2017,1380.47138
PSA1972,2017,2117.003367
CP9454,2017,2188.552189
BP11,2018,1965
BP36,2018,2573
BP48,2018,2566
BP54,2018,2416
BP80,2018,2640
BP98,2018,1827
PSA1972,2018,2680
CP9454,2018,2131
